Comment,Designator,Footprint,LCSC,Quantity
0.1,R16,R_1206_3216Metric,C42460614,1
10k,"R1,R10,R2,R20,R21,R22,R8,R9",R_0603_1608Metric,C25804,8
1k,"R19,R3,R5",R_0603_1608Metric,C21190,3
1uF,"C1,C2,C4,C5,C6",C_0603_1608Metric,C15849,5
22uF,C3,C_1206_3216Metric,C12891,1
24k,R4,R_0603_1608Metric,C23352,1
5.1k,"R11,R18,R25,R26,R6,R7",R_0603_1608Metric,C23186,6
D,"D1,D2,D3,D5",D_SOD-123,C8598,4
D_Schottky,D4,D_SMA,C22452,1
HIP4080A,U3,SOIC-20W_7.5x12.8mm_P1.27mm,C3655064,1
MCP6002-xSN,U5,SOIC-8_3.9x4.9mm_P1.27mm,C7377,1
MMBT5551L,"Q1,Q2,Q3",SOT-23,C2145,3
MT3608,U1,SOT-23-6,C84817,1
USB_C_Receptacle_PowerOnly_6P,J1,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,C2927028,1
